GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "20035","Cowley, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.879,97.179,95.742,96.211,92.347,99.106,102.600,102.370,94.318,96.644,99.039,100.000,97.080,104.332,111.221,110.537,112.945,114.823,108.957,106.854
 "20035","Cowley, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",864329,868121,874806,899365,884811,979451,1043435,1067413,1014809,1049965,1100236,1144481,1137413,1242631,1343347,1339700,1378198,1422743,1382651,1396223
 "20037","Crawford, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1163463,1200867,1165154,1167229,1197269,1222860,1235071,1287917,1274997,1272148,1292311,1338225,1362130,1327399,1315917,1335808,1406205,1474252,1487985,1495298
 "20037","Crawford, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.941,89.736,87.067,87.222,89.467,91.379,92.292,96.241,95.275,95.062,96.569,100.000,101.786,99.191,98.333,99.819,105.080,110.165,111.191,111.737
 "20037","Crawford, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",921152,967579,951176,973858,1022954,1075018,1117531,1188079,1215723,1223063,1259356,1338225,1396303,1386498,1409719,1449732,1538489,1641761,1701472,1755655
 "20039","Decatur, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",144028,110089,106072,79029,121862,87524,126625,131248,152406,153749,160871,123768,138940,144132,156558,190278,118377,135842,143700,154304
 "20039","Decatur, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",116.370,88.948,85.703,63.853,98.460,70.716,102.309,106.044,123.139,124.224,129.979,100.000,112.259,116.454,126.493,153.739,95.645,109.755,116.105,124.672
 "20039","Decatur, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",100344,74764,76543,61003,91587,66375,106659,114371,115557,127504,157699,123768,142988,143055,140940,159424,104092,121300,130242,139364
 "20041","Dickinson, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",504770,508091,563324,572206,565369,625650,578726,625285,636636,612352,613506,565195,587436,572113,556766,571657,582486,615206,602462,592121
 "20041","Dickinson, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.309,89.897,99.669,101.241,100.031,110.696,102.394,110.632,112.640,108.344,108.548,100.000,103.935,101.224,98.509,101.143,103.059,108.849,106.594,104.764
 "20041","Dickinson, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",376176,385327,437443,465784,464803,527337,521591,578762,589253,575989,594482,565195,602841,597733,593689,615271,630959,676984,681495,683924
 "20043","Doniphan, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",219741,196538,184624,230517,243140,253601,303468,294113,289106,240448,247528,228852,256207,239896,267079,244131,256898,241436,268532,239185
 "20043","Doniphan, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.019,85.880,80.674,100.728,106.243,110.814,132.605,128.517,126.329,105.067,108.161,100.000,111.953,104.826,116.704,106.677,112.255,105.499,117.339,104.515
 "20043","Doniphan, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",171834,155607,149384,193333,203533,215916,275429,273128,264653,224131,239871,228852,263508,249847,287565,264544,283190,269137,305400,272752
 "20045","Douglas, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3700172,3805848,3783265,3862304,3870559,3847798,3933397,4029648,4001793,3937978,4037593,4019253,4058107,4129953,4153031,4353800,4443152,4572224,4581216,4362445
 "20045","Douglas, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.061,94.690,94.129,96.095,96.300,95.734,97.864,100.259,99.566,97.978,100.456,100.000,100.967,102.754,103.328,108.324,110.547,113.758,113.982,108.539
 "20045","Douglas, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2881750,3017784,3051166,3193756,3298963,3397075,3579635,3746375,3836249,3801185,3953689,4019253,4163718,4336826,4476756,4753441,4917152,5165016,5301479,5172020
 "20047","Edwards, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",130902,153130,144393,133446,143148,123906,145358,152024,192464,168936,173955,156713,194764,184847,243121,261434,209575,201950,204201,189183
 "20047","Edwards, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.530,97.714,92.138,85.153,91.344,79.066,92.754,97.008,122.813,107.799,111.002,100.000,124.281,117.952,155.138,166.824,133.732,128.866,130.302,120.719
 "20047","Edwards, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",92290,104493,106283,107134,110658,95886,127604,137991,150328,143851,170049,156713,200243,182834,219491,217978,185160,178081,181469,163449
 "20049","Elk, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",58488,68205,63331,68373,72014,71538,70164,53541,50677,63622,59960,88055,92184,93957,90978,85616,80690,73755,74578,70286
 "20049","Elk, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",66.422,77.457,71.922,77.648,81.783,81.243,79.683,60.804,57.552,72.253,68.094,100.000,104.689,106.703,103.320,97.230,91.637,83.761,84.695,79.821
 "20049","Elk, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",41718,48669,47724,54959,57183,57940,61985,48725,45619,59167,59432,88055,95094,99758,96203,89674,86460,81224,84321,79753
 "20051","Ellis, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1037735,1076452,1057247,1055041,1062520,1112095,1174185,1271855,1273039,1298604,1366937,1416328,1432599,1471466,1480316,1479681,1457095,1488379,1478814,1467560
 "20051","Ellis, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.269,76.003,74.647,74.491,75.019,78.520,82.903,89.799,89.883,91.688,96.513,100.000,101.149,103.893,104.518,104.473,102.878,105.087,104.412,103.617
 "20051","Ellis, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",787521,827343,838292,866266,907017,978630,1075043,1209812,1171999,1234936,1351239,1416328,1468920,1524005,1497696,1494545,1497435,1565879,1577111,1576410
 "20053","Ellsworth, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",193159,198425,220752,222536,206186,213267,228975,241803,220335,215995,228745,262663,288339,286671,250350,235808,244809,255743,270728,265638
 "20053","Ellsworth, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.539,75.543,84.044,84.723,78.498,81.194,87.174,92.058,83.885,82.233,87.087,100.000,109.775,109.140,95.312,89.776,93.203,97.365,103.071,101.132
 "20053","Ellsworth, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",138110,143790,165386,176004,166420,176812,203540,222897,200460,202450,224564,262663,296107,299637,260575,244543,258686,276667,298025,293920
 "20055","Finney, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1521042,1476226,1543312,1545451,1557813,1534296,1523124,1693187,1774061,1918990,1959247,1880085,1952794,1906900,2058827,2185552,2118006,2218339,2110368,2061237
 "20055","Finney, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.903,78.519,82.087,82.201,82.859,81.608,81.014,90.059,94.361,102.069,104.211,100.000,103.867,101.426,109.507,116.248,112.655,117.991,112.249,109.635
 "20055","Finney, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1092824,1067247,1164547,1212218,1263063,1275610,1318578,1533825,1586421,1774187,1914449,1880085,2008321,1984380,2096318,2195477,2169033,2296055,2227545,2213865
 "20057","Ford, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1121720,1198724,1246721,1221725,1260968,1220877,1257606,1389876,1431538,1552804,1529179,1590802,1628340,1586160,1699211,1827373,1943235,2149930,2106351,2173959
 "20057","Ford, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",70.513,75.353,78.371,76.799,79.266,76.746,79.055,87.370,89.988,97.611,96.126,100.000,102.360,99.708,106.815,114.871,122.154,135.148,132.408,136.658
 "20057","Ford, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",846461,924334,980247,980464,1027032,1009320,1075906,1232988,1327087,1461034,1476694,1590802,1668756,1657682,1797501,1935629,2070754,2305829,2296989,2431703
 "20059","Franklin, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",621034,670781,667829,695978,702252,740239,742047,751702,756034,719647,736330,770751,807348,791931,810450,828640,797769,845581,828536,818567
 "20059","Franklin, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.575,87.030,86.647,90.299,91.113,96.041,96.276,97.529,98.091,93.370,95.534,100.000,104.748,102.748,105.151,107.511,103.505,109.709,107.497,106.204
 "20059","Franklin, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",489765,539186,546315,583199,605092,657825,684653,712921,738004,703411,725069,770751,820608,814837,851546,883381,863535,936421,939322,945448
